angle,predicted_impedance,impedance
270.64632885212006,nan,20.32845
270.2947259565668,nan,19.119130000000002
269.9431230610136,nan,nan
269.5915201654603,nan,19.58955
269.15201654601873,nan,20.32845
268.7125129265772,nan,19.33253
268.3609100310239,nan,19.81928
268.00930713547064,nan,20.080779999999997
267.6577042399174,nan,19.58955
267.04239917269916,nan,nan
266.6028955532576,nan,19.33253
266.25129265770437,nan,19.119130000000002
265.81178903826276,nan,20.56864
265.3722854188212,nan,20.04167
264.75698035160303,nan,nan
264.3174767321614,nan,19.81928
263.87797311271987,nan,20.080779999999997
263.4384694932783,nan,20.32845
262.9110651499484,nan,19.119130000000002
262.47156153050685,nan,19.33253
262.03205791106524,nan,19.82682
261.680455015512,nan,19.58955
261.32885211995875,nan,20.32845
260.8893485005172,nan,19.81928
260.4498448810756,nan,nan
260.09824198552235,nan,21.12122
259.6587383660808,nan,20.56864
259.3071354705275,nan,19.81928
258.77973112719764,nan,19.58955
258.3402275077561,nan,19.33253
257.9007238883145,nan,nan
257.3733195449846,nan,20.56864
256.933815925543,nan,nan
256.49431230610145,nan,20.080779999999997
256.0548086866599,nan,20.255599999999998
255.61530506721832,nan,nan
255.17580144777673,nan,20.56864
254.73629782833515,nan,19.81928
254.2967942088936,nan,20.080779999999997
253.85729058945202,nan,19.82682
253.50568769389878,nan,19.58955
253.0661840744572,nan,20.04167
252.71458117890393,nan,20.56864
252.27507755946237,nan,19.119130000000002
251.8355739400208,nan,19.58955
251.48397104446752,nan,nan
251.04446742502597,nan,20.86139
250.6049638055844,nan,20.3203
250.1654601861428,nan,19.35356
249.63805584281292,nan,nan
249.11065149948305,nan,20.56864
248.67114788004147,nan,20.86139
248.2316442605999,nan,19.82682
247.70423991727,nan,nan
247.26473629782845,nan,nan
246.91313340227518,nan,20.32845
246.4736297828336,nan,19.81928
