angle,predicted_impedance,impedance,Error
312.3991727,19.95526907,20.09593,0.699947349
310.8169597,19.96094597,20.09593,0.671698342
324.0020683,19.96116008,20.09593,0.670632891
309.762151,19.9652223,20.09593,0.650418753
243.7487073,20.21821872,20.09593,0.604844181
243.9245088,20.21718473,20.09593,0.599760694
228.1023785,20.33702252,20.4591,0.596690387
326.1116856,19.97627382,20.09593,0.595424937
256.4064116,20.1616642,20.28093,0.588068673
220.8945191,20.40028234,20.28093,0.585052399
306.0703206,19.9824726,20.09593,0.564578991
245.4188211,20.20869824,20.09593,0.558018315
226.6080662,20.3502519,20.4591,0.532027798
247.0010341,20.20029741,20.09593,0.516662725
247.0889349,20.19984811,20.09593,0.514449965
225.9927611,20.35571726,20.4591,0.505314196
248.7590486,20.19165304,20.09593,0.474072315
250.1654602,20.185243,20.09593,0.442466823
250.3412616,20.18447239,20.09593,0.438665865
224.8500517,20.36586258,20.28093,0.417034043
251.8355739,20.17818786,20.09593,0.407657316
223.4436401,20.37827948,20.4591,0.395034583
253.9451913,20.1700853,20.09593,0.367649929
256.0548087,20.16280458,20.09593,0.331673028
221.9493278,20.39128546,20.4591,0.331463962
257.7249224,20.15755818,20.09593,0.305732375
258.2523268,20.15598692,20.09593,0.297960714
295.434333,20.03880811,20.09593,0.284246077
260.1861427,20.15053696,20.09593,0.270995047
241.8148914,20.23008789,20.28093,0.25068925
293.7642192,20.04720997,20.09593,0.242437293
241.5511892,20.23177656,20.28093,0.24236284
263.9658738,20.14100936,20.09593,0.223818782
265.811789,20.1367234,20.09593,0.202582118
266.1633919,20.13592392,20.09593,0.198619737
218.4332989,20.42037807,20.4591,0.189265065
230.475698,20.31632144,20.28093,0.174202018
268.36091,20.13099398,20.09593,0.17417907
270.0310238,20.12726337,20.09593,0.155676246
289.5449845,20.06690213,20.09593,0.14444649
272.8438469,20.12082853,20.09593,0.123745065
216.14788,20.43742083,20.4591,0.105963447
274.6897622,20.11638976,20.09593,0.101706924
276.3598759,20.11215477,20.09593,0.080671466
286.204757,20.08069237,20.09593,0.075824446
285.7652534,20.08238251,20.09593,0.067414121
236.3650465,20.2682885,20.28093,0.062331952
279.6122027,20.10312617,20.09593,0.035796272
283.8314374,20.08947791,20.09593,0.03210646
280.6670114,20.09993594,20.09593,0.019930118
234.4312306,20.28339457,20.28093,0.012150662
281.2823164,20.09800928,20.09593,0.01034572
210.6101344,19.51903611,19.52031,0.006525979
210.8738366,19.51929162,19.52031,0.005217051
